temperature,humidity,capacity,water flow,day,time
30.9,32,300,45,03/06/2020,7:11:06
31,43,300,50,03/06/2020,7:11:38
31.6825,34,270,32,03/06/2020,7:13:35
31.8,39,270,35,03/06/2020,7:26:40
32.06,37,300,49,03/06/2020,7:28:11
32,43,300,52,03/06/2020,7:29:49
32.85,37,300,30,03/06/2020,9:02:41
32.8,39,300,50,03/06/2020,9:03:05
33,42,290,65,03/06/2020,9:07:50
33.025,43,280,70,03/06/2020,9:11:05
33.25,44,290,62,03/06/2020,9:11:38
33,41,280,55,03/06/2020,9:24:13
33.2,36,290,60,03/06/2020,9:25:35
33.5,30,280,40,03/06/2020,9:26:40
32.5,45,280,30,03/06/2020,17:03:21
32,39,300,35,03/06/2020,17:04:42
31.125,39,300,40,03/06/2020,17:07:00
31,42,280,28,03/06/2020,17:09:34
31.2,30,300,35,03/06/2020,17:10:25
30.75,32,300,30,03/06/2020,17:24:41
30.8,37,300,30,03/06/2020,17:24:56
30.5,39,290,25,03/06/2020,17:25:25
29.5,35,290,24,03/06/2020,20:21:01
30,36,300,28,03/06/2020,20:30:48
30.125,35,300,25,03/06/2020,20:31:08
30,38,290,30,03/06/2020,20:31:39
30.2,42,290,32,03/06/2020,20:33:32
30.75,36,300,38,03/06/2020,20:39:51
30.5,31,300,35,03/06/2020,20:42:44
30,31,300,38,03/06/2020,20:48:32
31.87,40,270,60,04/06/2020,6:01:46
32.13,39,300,53,04/06/2020,6:03:10
30.9,42,300,45,04/06/2020,6:04:39
31,36,300,50,04/06/2020,6:06:00
31.6825,35,270,32,04/06/2020,6:14:58
31.8,44,270,35,04/06/2020,6:20:04
32.06,41,300,49,04/06/2020,6:20:05
32,44,300,52,04/06/2020,6:25:06
32.85,30,300,30,04/06/2020,13:00:48
32.8,36,300,50,04/06/2020,13:08:12
33,45,290,65,04/06/2020,13:11:13
33.025,39,280,70,04/06/2020,13:13:34
33.25,45,290,62,04/06/2020,13:15:03
33,39,280,55,04/06/2020,13:15:58
33.2,33,290,60,04/06/2020,13:22:07
33.5,36,280,40,04/06/2020,13:29:14
32.5,44,280,30,04/06/2020,17:04:16
32,39,300,35,04/06/2020,17:08:54
31.125,44,300,40,04/06/2020,17:10:13
31,33,280,28,04/06/2020,17:11:35
31.2,37,300,35,04/06/2020,17:17:01
30.75,32,300,30,04/06/2020,17:19:02
30.8,33,300,30,04/06/2020,17:26:44
30.5,41,290,25,04/06/2020,17:26:59
29.5,42,290,24,04/06/2020,19:31:40
30,32,300,28,04/06/2020,19:37:19
30.125,30,300,25,04/06/2020,19:38:52
30,33,290,30,04/06/2020,19:42:56
30.2,35,290,32,04/06/2020,19:45:21
30.75,41,300,38,04/06/2020,19:49:48
30.5,40,300,35,04/06/2020,19:52:15
30,41,300,38,04/06/2020,19:59:22
31.87,35,270,60,05/06/2020,6:03:00
32.13,45,300,53,05/06/2020,6:08:10
30.9,35,300,45,05/06/2020,6:08:55
31,42,300,50,05/06/2020,6:14:27
31.6825,44,270,32,05/06/2020,6:19:23
31.8,35,270,35,05/06/2020,6:20:24
32.06,31,300,49,05/06/2020,6:21:49
32,31,300,52,05/06/2020,6:22:34
32.85,43,300,30,05/06/2020,9:03:29
32.8,35,300,50,05/06/2020,9:06:38
33,37,290,65,05/06/2020,9:07:45
33.025,31,280,70,05/06/2020,9:19:09
33.25,32,290,62,05/06/2020,9:21:46
33,30,280,55,05/06/2020,9:23:20
33.2,41,290,60,05/06/2020,9:24:53
33.5,38,280,40,05/06/2020,9:27:44
32.5,40,280,30,05/06/2020,17:03:38
32,42,300,35,05/06/2020,17:14:36
31.125,39,300,40,05/06/2020,17:15:19
31,43,280,28,05/06/2020,17:16:30
31.2,45,300,35,05/06/2020,17:22:10
30.75,32,300,30,05/06/2020,17:24:26
30.8,37,300,30,05/06/2020,17:28:34
30.5,36,290,25,05/06/2020,17:29:21
29.5,34,290,24,05/06/2020,19:05:49
30,31,300,28,05/06/2020,19:08:27
30.125,35,300,25,05/06/2020,19:09:17
30,43,290,30,05/06/2020,19:12:16
30.2,34,290,32,05/06/2020,19:16:42
30.75,30,300,38,05/06/2020,19:17:01
30.5,45,300,35,05/06/2020,19:17:06
30,30,300,38,05/06/2020,19:17:39
31.87,39,270,60,06/06/2020,7:02:12
32.13,36,300,53,06/06/2020,7:04:47
30.9,34,300,45,06/06/2020,7:11:09
31,41,300,50,06/06/2020,7:12:56
31.6825,36,270,32,06/06/2020,7:18:11
31.8,40,270,35,06/06/2020,7:19:52
32.06,35,300,49,06/06/2020,7:20:38
32,41,300,52,06/06/2020,7:28:31
32.85,38,300,30,06/06/2020,12:01:29
32.8,40,300,50,06/06/2020,12:01:41
33,33,290,65,06/06/2020,12:03:18
33.025,39,280,70,06/06/2020,12:07:56
33.25,33,290,62,06/06/2020,12:17:00
33,38,280,55,06/06/2020,12:25:29
33.2,42,290,60,06/06/2020,12:28:02
33.5,38,280,40,06/06/2020,12:28:37
32.5,37,280,30,06/06/2020,15:01:43
32,33,300,35,06/06/2020,15:06:01
31.125,36,300,40,06/06/2020,15:17:29
31,34,280,28,06/06/2020,15:22:27
31.2,40,300,35,06/06/2020,15:23:03
30.75,35,300,30,06/06/2020,15:27:46
30.8,36,300,30,06/06/2020,15:28:11
30.5,45,290,25,06/06/2020,15:29:57
29.5,34,290,24,06/06/2020,19:04:06
30,39,300,28,06/06/2020,19:04:32
30.125,33,300,25,06/06/2020,19:08:06
30,33,290,30,06/06/2020,19:15:33
30.2,39,290,32,06/06/2020,19:15:40
30.75,31,300,38,06/06/2020,19:16:33
30.5,41,300,35,06/06/2020,19:16:53
30,40,300,38,06/06/2020,19:19:48
31.87,40,270,60,07/06/2020,6:35:52
32.13,31,300,53,07/06/2020,6:39:39
30.9,43,300,45,07/06/2020,6:41:24
31,40,300,50,07/06/2020,6:51:40
31.6825,45,270,32,07/06/2020,6:53:49
31.8,31,270,35,07/06/2020,6:54:31
32.06,32,300,49,07/06/2020,6:54:38
32,34,300,52,07/06/2020,6:54:47
32.85,41,300,30,07/06/2020,13:03:28
32.8,42,300,50,07/06/2020,13:06:25
33,44,290,65,07/06/2020,13:09:33
33.025,40,280,70,07/06/2020,13:18:43
33.25,31,290,62,07/06/2020,13:18:56
33,40,280,55,07/06/2020,13:22:54
33.2,44,290,60,07/06/2020,13:24:52
33.5,39,280,40,07/06/2020,13:29:35
32.5,41,280,30,07/06/2020,17:00:37
32,31,300,35,07/06/2020,17:04:37
31.125,33,300,40,07/06/2020,17:12:43
31,40,280,28,07/06/2020,17:16:33
31.2,38,300,35,07/06/2020,17:23:45
30.75,36,300,30,07/06/2020,17:25:05
30.8,40,300,30,07/06/2020,17:25:16
30.5,43,290,25,07/06/2020,17:28:31
29.5,44,290,24,07/06/2020,18:01:22
30,36,300,28,07/06/2020,18:02:27
30.125,39,300,25,07/06/2020,18:06:48
30,41,290,30,07/06/2020,18:09:24
30.2,36,290,32,07/06/2020,18:13:57
30.75,39,300,38,07/06/2020,18:14:29
30.5,30,300,35,07/06/2020,18:15:13
30,42,300,38,07/06/2020,18:15:49
31.87,42,270,60,08/06/2020,7:04:04
32.13,39,300,53,08/06/2020,7:04:13
30.9,45,300,45,08/06/2020,7:05:19
31,34,300,50,08/06/2020,7:14:31
31.6825,38,270,32,08/06/2020,7:18:30
31.8,33,270,35,08/06/2020,7:20:02
32.06,44,300,49,08/06/2020,7:20:39
32,45,300,52,08/06/2020,7:27:28
32.85,31,300,30,08/06/2020,11:06:25
32.8,36,300,50,08/06/2020,11:08:41
33,34,290,65,08/06/2020,11:12:25
33.025,32,280,70,08/06/2020,11:14:20
33.25,39,290,62,08/06/2020,11:16:39
33,41,280,55,08/06/2020,11:17:05
33.2,45,290,60,08/06/2020,11:17:18
33.5,34,280,40,08/06/2020,11:20:35
32.5,33,280,30,08/06/2020,15:03:51
32,39,300,35,08/06/2020,15:04:18
31.125,34,300,40,08/06/2020,15:09:44
31,31,280,28,08/06/2020,15:15:14
31.2,44,300,35,08/06/2020,15:25:35
30.75,33,300,30,08/06/2020,15:27:13
30.8,32,300,30,08/06/2020,15:27:26
30.5,33,290,25,08/06/2020,15:28:49
29.5,31,290,24,08/06/2020,20:24:26
30,37,300,28,08/06/2020,20:25:39
30.125,44,300,25,08/06/2020,20:28:34
30,43,290,30,08/06/2020,20:31:06
30.2,45,290,32,08/06/2020,20:40:42
30.75,44,300,38,08/06/2020,20:42:49
30.5,32,300,35,08/06/2020,20:47:32
30,45,300,38,08/06/2020,20:48:42
29.1,40,300,60,09/06/2020,7:00:12
29,48,300,55,09/06/2020,7:09:54
29.5,45,280,50,09/06/2020,7:16:12
30.1,42,300,60,09/06/2020,7:18:18
29.7,45,280,51,09/06/2020,7:20:29
29.8,46,300,58,09/06/2020,7:21:42
30,48,300,54,09/06/2020,7:27:01
29.8,43,280,55,09/06/2020,7:28:19
30.5,35,290,60,09/06/2020,10:11:05
31,40,280,55,09/06/2020,10:13:18
30.8,36,280,55,09/06/2020,10:15:13
30.8,34,300,58,09/06/2020,10:17:58
30.9,41,280,55,09/06/2020,10:21:44
31,38,290,62,09/06/2020,10:24:41
30.7,45,290,55,09/06/2020,10:26:37
30.8,40,300,58,09/06/2020,10:28:27
30.9,30,280,57,09/06/2020,16:00:36
31,35,300,58,09/06/2020,16:01:13
31.1,38,290,58,09/06/2020,16:02:05
30.9,40,300,57,09/06/2020,16:05:11
31,41,300,57,09/06/2020,16:09:41
31,32,280,55,09/06/2020,16:13:41
30.8,37,300,57,09/06/2020,16:17:08
31.1,35,300,58,09/06/2020,16:28:37
31.2,45,290,54,09/06/2020,19:01:45
30.2,46,300,55,09/06/2020,19:10:03
30.4,50,300,49,09/06/2020,19:11:33
30.2,55,290,48,09/06/2020,19:12:31
30.5,52,300,50,09/06/2020,19:14:14
30.2,50,290,52,09/06/2020,19:16:43
30,54,300,47,09/06/2020,19:20:52
30,49,300,51,09/06/2020,19:24:42
30.6,40,300,57,10/06/2020,8:05:02
30.1,46,300,55,10/06/2020,8:07:16
30,41,280,55,10/06/2020,8:10:54
30.1,39,300,56,10/06/2020,8:18:57
30.7,45,280,52,10/06/2020,8:24:40
30.5,39,300,60,10/06/2020,8:26:08
30.6,41,300,59,10/06/2020,8:27:40
30.5,40,280,54,10/06/2020,8:28:53
32,35,290,60,10/06/2020,11:00:07
31.5,34,280,59,10/06/2020,11:04:03
31.5,36,280,58,10/06/2020,11:04:06
31.8,30,300,61,10/06/2020,11:04:40
31.9,39,280,52,10/06/2020,11:06:44
31.7,38,290,55,10/06/2020,11:07:27
31.6,35,290,57,10/06/2020,11:16:05
32,40,300,55,10/06/2020,11:18:03
31.5,40,280,52,10/06/2020,17:04:21
31.2,39,300,56,10/06/2020,17:04:51
31.4,38,290,55,10/06/2020,17:05:16
31.2,37,300,58,10/06/2020,17:06:59
31.2,38,300,57,10/06/2020,17:15:13
31,40,280,52,10/06/2020,17:19:40
30.8,41,300,55,10/06/2020,17:20:42
31.1,42,300,54,10/06/2020,17:25:10
29.5,45,290,52,10/06/2020,20:05:52
29.1,46,300,56,10/06/2020,20:12:04
30,47,300,55,10/06/2020,20:14:44
29.5,44,290,55,10/06/2020,20:17:05
29.4,40,300,55,10/06/2020,20:19:40
29.6,42,290,51,10/06/2020,20:21:39
29.4,43,300,53,10/06/2020,20:23:16
29.5,41,300,50,10/06/2020,20:28:37
29,50,300,51,11/06/2020,6:08:16
29.1,55,300,49,11/06/2020,6:09:11
29.3,53,280,46,11/06/2020,6:10:14
29.4,54,300,50,11/06/2020,6:12:21
29.1,58,280,44,11/06/2020,6:13:14
29,60,300,45,11/06/2020,6:15:38
28.7,51,300,50,11/06/2020,6:24:47
29,53,280,49,11/06/2020,6:25:34
33,50,290,49,11/06/2020,12:02:07
32.8,53,280,50,11/06/2020,12:05:54
33.025,52,280,49,11/06/2020,12:07:06
32.8,51,300,50,11/06/2020,12:08:39
33,58,280,46,11/06/2020,12:09:31
33.1,60,290,43,11/06/2020,12:18:40
33.2,61,290,45,11/06/2020,12:18:53
32.85,59,300,45,11/06/2020,12:27:14
32.5,40,280,54,11/06/2020,16:00:02
32.5,45,300,52,11/06/2020,16:01:04
32,43,290,51,11/06/2020,16:04:48
32.6,42,300,53,11/06/2020,16:06:08
32,40,300,55,11/06/2020,16:17:10
32.4,40,280,54,11/06/2020,16:18:01
32,39,300,57,11/06/2020,16:23:07
32.1,42,300,55,11/06/2020,16:28:41
29.5,45,290,52,11/06/2020,21:00:57
30.125,46,300,50,11/06/2020,21:05:00
30,50,300,46,11/06/2020,21:05:33
30,51,290,45,11/06/2020,21:09:05
30.1,53,300,43,11/06/2020,21:14:40
29.5,62,290,42,11/06/2020,21:18:41
29.5,50,300,49,11/06/2020,21:22:55
30,52,300,50,11/06/2020,21:28:30
29.08,55,270,46,12/06/2020,6:01:03
28.89,56,300,47,12/06/2020,6:04:54
29.29,60,300,47,12/06/2020,6:13:57
28.96,55,300,48,12/06/2020,6:17:12
28.72,56,270,49,12/06/2020,6:20:45
29.18,59,270,48,12/06/2020,6:22:41
29.16,59,300,46,12/06/2020,6:24:02
28.79,58,300,50,12/06/2020,6:27:13
32.18,39,300,59,12/06/2020,13:00:49
32.6,40,300,57,12/06/2020,13:04:13
32.66,43,290,53,12/06/2020,13:09:38
32.1,39,280,58,12/06/2020,13:14:16
32.87,39,290,58,12/06/2020,13:17:50
32.52,41,280,65,12/06/2020,13:18:32
32.25,40,290,57,12/06/2020,13:18:52
32.97,40,280,58,12/06/2020,13:29:20
32.83,39,280,58,12/06/2020,15:01:09
32.57,36,300,59,12/06/2020,15:01:20
32.78,36,300,55,12/06/2020,15:07:26
32.32,39,280,57,12/06/2020,15:07:35
32.46,35,300,55,12/06/2020,15:12:38
32.68,36,300,59,12/06/2020,15:20:13
32.91,35,300,60,12/06/2020,15:23:35
32.1,40,290,55,12/06/2020,15:24:38
29.3,45,290,64,12/06/2020,22:02:00
29.31,47,300,54,12/06/2020,22:08:10
29.33,49,300,51,12/06/2020,22:08:26
29.05,48,290,61,12/06/2020,22:09:26
29.22,49,290,50,12/06/2020,22:14:00
29.12,50,300,52,12/06/2020,22:21:22
29.02,53,300,48,12/06/2020,22:26:52
29.03,49,300,63,12/06/2020,22:29:12
29.42,53,270,46,13/06/2020,7:01:12
29.25,55,300,49,13/06/2020,7:02:15
29,53,300,46,13/06/2020,7:03:16
29.04,51,300,47,13/06/2020,7:08:37
29.11,53,270,49,13/06/2020,7:12:41
29.19,54,270,46,13/06/2020,7:13:32
29.33,50,300,52,13/06/2020,7:26:42
29.06,53,300,45,13/06/2020,7:29:30
32.48,39,300,55,13/06/2020,14:05:26
32.93,40,300,59,13/06/2020,14:09:41
32.45,38,290,55,13/06/2020,14:11:06
32.92,39,280,59,13/06/2020,14:11:42
32.24,36,290,55,13/06/2020,14:13:49
32.75,36,280,58,13/06/2020,14:19:25
32.73,36,290,56,13/06/2020,14:22:35
32.35,36,280,55,13/06/2020,14:24:34
31.22,30,280,60,13/06/2020,16:00:45
31.45,34,300,57,13/06/2020,16:02:03
31.97,34,300,59,13/06/2020,16:03:39
31.64,30,280,64,13/06/2020,16:11:59
31.27,32,300,58,13/06/2020,16:15:12
31.07,32,300,57,13/06/2020,16:19:00
31.02,33,300,58,13/06/2020,16:20:33
31.52,31,290,59,13/06/2020,16:21:19
29.11,51,290,46,13/06/2020,23:01:04
29.23,50,300,59,13/06/2020,23:01:18
29.18,50,300,50,13/06/2020,23:13:52
28.94,53,290,49,13/06/2020,23:15:58
28.94,55,290,47,13/06/2020,23:20:07
28.96,52,300,48,13/06/2020,23:20:08
28.85,52,300,47,13/06/2020,23:23:53
29.13,50,300,56,13/06/2020,23:24:07
29.37,46,300,52,14/06/2020,8:03:46
29.32,45,300,52,14/06/2020,8:03:46
29.34,48,280,60,14/06/2020,8:09:06
29.63,45,300,58,14/06/2020,8:09:06
29.5,46,280,50,14/06/2020,8:11:37
29.44,48,300,61,14/06/2020,8:11:37
29.61,50,300,57,14/06/2020,8:16:44
29.37,52,280,48,14/06/2020,8:16:44
29.47,53,290,50,14/06/2020,9:05:59
29.4,47,280,53,14/06/2020,9:06:29
29.61,48,280,53,14/06/2020,9:07:32
29.6,53,300,48,14/06/2020,9:09:57
29.52,45,280,61,14/06/2020,9:10:01
29.61,48,290,55,14/06/2020,9:11:00
29.43,45,290,55,14/06/2020,9:20:31
29.48,49,300,52,14/06/2020,9:28:48
31.07,36,280,59,14/06/2020,17:01:42
31.89,34,300,59,14/06/2020,17:03:15
31.73,35,290,59,14/06/2020,17:03:52
31.9,33,300,57,14/06/2020,17:07:21
31,34,300,58,14/06/2020,17:09:37
31.89,36,280,60,14/06/2020,17:10:39
31.78,31,300,59,14/06/2020,17:14:49
31.38,32,300,59,14/06/2020,17:26:41
30.63,31,290,57,14/06/2020,18:04:30
30.34,33,300,60,14/06/2020,18:12:15
30.02,36,300,60,14/06/2020,18:15:41
30.05,32,290,56,14/06/2020,18:18:17
30.41,31,300,60,14/06/2020,18:18:20
30.46,36,290,59,14/06/2020,18:24:00
30.55,34,300,56,14/06/2020,18:27:16
30.17,34,300,56,14/06/2020,18:28:47
29.11,58,300,48,15/06/2020,6:08:16
29.23,56,300,50,15/06/2020,6:09:11
29.17,55,280,50,15/06/2020,6:10:14
28.96,57,300,47,15/06/2020,6:12:21
28.79,58,280,46,15/06/2020,6:13:14
29.06,55,300,48,15/06/2020,6:15:38
28.86,59,300,50,15/06/2020,6:24:47
28.99,57,280,50,15/06/2020,6:25:34
29.98,41,290,55,15/06/2020,10:00:52
30.38,42,280,53,15/06/2020,10:03:48
29.85,44,280,57,15/06/2020,10:09:11
30.07,45,300,58,15/06/2020,10:09:11
29.78,44,280,50,15/06/2020,10:18:20
30,44,290,63,15/06/2020,10:22:10
29.66,41,290,58,15/06/2020,10:23:31
29.96,45,300,63,15/06/2020,10:26:43
32.26,35,280,58,15/06/2020,15:07:44
32.19,38,300,60,15/06/2020,15:12:18
32.87,37,290,59,15/06/2020,15:12:41
32.46,38,300,55,15/06/2020,15:12:45
32.92,36,300,57,15/06/2020,15:13:27
32.7,35,280,57,15/06/2020,15:13:34
32.78,40,300,60,15/06/2020,15:16:30
32.33,35,300,55,15/06/2020,15:19:57
29.19,47,290,57,15/06/2020,22:08:15
29.11,51,300,46,15/06/2020,22:10:55
29.19,45,300,52,15/06/2020,22:11:41
29.16,52,290,45,15/06/2020,22:12:32
29.19,45,300,57,15/06/2020,22:15:04
29.14,52,290,46,15/06/2020,22:17:09
29.11,52,300,49,15/06/2020,22:17:58
29.44,53,300,46,15/06/2020,22:28:27
29.13,52,300,49,16/06/2020,7:01:19
29.18,50,300,64,16/06/2020,7:06:02
29.33,55,280,49,16/06/2020,7:09:06
29.39,52,300,48,16/06/2020,7:13:04
29.25,55,280,45,16/06/2020,7:23:40
29.22,55,300,45,16/06/2020,7:26:25
29.07,51,300,47,16/06/2020,7:26:28
29.25,50,280,53,16/06/2020,7:26:33
30.03,45,290,56,16/06/2020,11:00:32
